BEGIN_GUI_DESCR

GLOBAL_PICTURE	i_beam_tab.gif

SHOW_PARAM	DOUBLE	D
SHOW_PARAM	DOUBLE	BF
SHOW_PARAM	DOUBLE	TF
SHOW_PARAM	DOUBLE	TW

END_GUI_DESCR

BEGIN_TAB_DESCR

BEGIN_TABLE	TYPE	TYPE
SEL_STRING	BUW_TYPE	BUW_NAME	IMPORT_TYPE	SIZE_SUBTABLE
STRING	STRING	STRING	STRING	SUBTABLE
W (fractional)	W_SHAPES	W_SHAPES	W_SHAPES	SIZE_W
M (fractional)	M_SHAPES	M_SHAPES	M_SHAPES	SIZE_M
HP (fractional)	HP_SHAPES	HP_SHAPES	HP_SHAPES	SIZE_HP
AISC V14 W (fractional)	W_SHAPES	W_SHAPES	W_SHAPES_V14	SIZE_W_V14
AISC V14 M (fractional)	M_SHAPES	M_SHAPES	M_SHAPES_V14	SIZE_M_V14
AISC V14 HP (fractional)	HP_SHAPES	HP_SHAPES	HP_SHAPES_V14	SIZE_HP_V14
END_TABLE



BEGIN_SUBTABLE	SIZE_W	SIZE
SEL_STRING	BUW_SIZE	D	BF	TF	TW	R1
STRING	STRING	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE
W 36 x 527	W 36 x 527	39.25	17.25	2.9375	1.625	1.02
W 36 x 588	W 36 x 588	39.875	17.375	3.25	1.8125	1.02
W 36 x 650	W 36 x 650	40.5	17.625	3.5625	2	1.02
W 36 x 720	W 36 x 720	41.25	17.75	3.875	2.1875	1.02
W 36 x 798	W 36 x 798	42	18	4.3125	2.375	1.02
W 36 x 848	W 36 x 848	42.5	18.125	4.5	2.5	1.02
W 40 x 149	W 40 x 149	38.25	11.75	0.8125	0.625	1.25
W 40 x 167	W 40 x 167	38.625	11.75	1	0.625	1.25
W 40 x 183	W 40 x 183	39	11.75	1.25	0.625	1.25
W 40 x 199	W 40 x 199	38.625	15.75	1.0625	0.625	1.25
W 40 x 215	W 40 x 215	39	15.75	1.25	0.625	1.25
W 40 x 249	W 40 x 249	39.375	15.75	1.4375	0.75	1.25
W 40 x 277	W 40 x 277	39.75	15.875	1.5625	0.8125	1.25
W 40 x 297	W 40 x 297	39.875	15.875	1.625	0.9375	1.25
W 40 x 324	W 40 x 324	40.125	15.875	1.8125	1	1.25
W 40 x 362	W 40 x 362	40.5	16	2	1.125	1.25
W 40 x 397	W 40 x 397	41	16.125	2.1875	1.25	1.25
W 40 x 436	W 40 x 436	41.375	16.25	2.375	1.3125	1.25
W 40 x 480	W 40 x 480	41.75	16.375	2.625	1.4375	1.25
W 40 x 531	W 40 x 531	42.375	16.5	2.9375	1.625	1.25
W 40 x 593	W 40 x 593	43	16.75	3.25	1.8125	1.25
W 40 x 655	W 40 x 655	43.625	16.875	3.5625	2	1.25
W 40 x 192	W 40 x 192	38.25	17.75	0.8125	0.6875	1.25
W 40 x 221	W 40 x 221	38.625	17.75	1.0625	0.6875	1.25
W 40 x 244	W 40 x 244	39	17.75	1.25	0.6875	1.25
W 40 x 268	W 40 x 268	39.375	17.75	1.4375	0.75	1.25
W 40 x 298	W 40 x 298	39.75	17.875	1.5625	0.8125	1.25
W 40 x 328	W 40 x 328	40	17.875	1.75	0.9375	1.25
W 40 x 198	W 40 x 198	42.875	11.75	1.25	0.6875	0.95
W 44 x 224	W 44 x 224	43.25	11.75	1.4375	0.8125	0.95
W 44 x 248	W 44 x 248	43.625	11.75	1.5625	0.875	0.95
W 44 x 285	W 44 x 285	44	11.75	1.75	1	0.95
END_SUBTABLE


BEGIN_SUBTABLE	SIZE_M	SIZE
SEL_STRING	BUW_SIZE	D	BF	TF	TW	R1
STRING	STRING	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE
M 5 x 18.9	M 5 x 18.9	5	5	0.4375	0.3125	0.31
M 6 x 4.4	M 6 x 4.4	6	1.875	0.1875	0.125	0.31
M 8 x 6.5	M 8 x 6.5	8	2.25	0.1875	0.125	0.31
M 10 x 7.5	M 10 x 7.5	10	2.75	0.1875	0.125	0.31
M 10 x 8	M 10 x 8	10	2.75	0.1875	0.1875	0.31
M 10 x 9	M 10 x 9	10	2.75	0.1875	0.1875	0.3
M 12 x 10	M 12 x 10	12	3.25	0.1875	0.1875	0.28
M 12 x 10.8	M 12 x 10.8	12	3.125	0.25	0.1875	0.28
M 12 x 11.8	M 12 x 11.8	12	3.125	0.25	0.1875	0.28
M 14 x 18	M 14 x 18	14	4	0.25	0.1875	0.28
END_SUBTABLE


BEGIN_SUBTABLE	SIZE_HP	SIZE
SEL_STRING	BUW_SIZE	D	BF	TF	TW	R1
STRING	STRING	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE
HP 8 x 36	HP 8 x 36	8	8.125	0.4375	0.4375	0.4
HP 10 x 42	HP 10 x 42	9.75	10.125	0.4375	0.4375	0.4
HP 10 x 57	HP 10 x 57	10	10.25	0.5625	0.5625	0.5
HP 12 x 53	HP 12 x 53	11.75	12	0.4375	0.4375	0.5
HP 12 x 63	HP 12 x 63	12	12.125	0.5	0.5	0.5
HP 12 x 74	HP 12 x 74	12.125	12.25	0.625	0.625	0.5
HP 12 x 84	HP 12 x 84	12.25	12.25	0.6875	0.6875	0.5
HP 13 x 60	HP 13 x 60	12.5	12.875	0.4375	0.4375	0.6
HP 13 x 73	HP 13 x 73	12.75	13	0.5625	0.5625	0.6
HP 13 x 87	HP 13 x 87	13	13.125	0.6875	0.6875	0.6
